name,kind,latitude,longitude,operator,beds,emergency,speciality
Ma Pharmacy,pharmacy,23.8852149914791,90.2617745272594,,,,
Terokhada Upazila Health Complex,hospital,22.928189571333,89.6728478448719,,,,
"Ichamoti Aushadhaloy, Pharmacy, Islampur Rd, Dhaka",pharmacy,23.7114503435222,90.4036597799623,,,,
Oxford Dental,pharmacy,24.8168570751498,88.93927717399,,,,
Jessore 250 bed General Hospital,hospital,23.1689123822392,89.2090256773959,,,,
Jahangir Pharmacy,pharmacy,23.7310573752447,90.3803078815399,,,,
Leed Pharma,pharmacy,23.7592134452901,90.373306477819,,,,
"Upashom General Hospital, Hospital",hospital,24.9357207602344,89.939945319942,,,,
Chakaria Unique Hospital,hospital,21.7670624619788,92.0762489445836,,,,
Noyon Pharmacy,pharmacy,25.7646510862358,89.2318689619337,,,,
M/s Abedia Pharmacy,pharmacy,25.8621419240563,88.6542569268211,,,,
Metro Escape,clinic,23.8183321818393,90.3652732618175,,,,
মা ও শিশু প্রাঃ হাসপাতাল আন্ড ডায়াগনস্টিক সেন্টার,hospital,24.4865846929467,91.7706148314829,,,,
Niramoy Medical Hall,pharmacy,23.744816185485,90.3655060272687,,,,
"Karnaphuli EPZ Hospital, M. A Aziz Rd, Chattogram",hospital,22.2717018995199,91.7880501959123,,,,
North Bengal Homeo Hall,pharmacy,24.4131168925357,88.9969702326285,,,,
Sibli Pharmacy,pharmacy,22.3600472427877,91.8326427589857,,,,
Shaila Pharmacy শায়লা ফার্মেসী,pharmacy,24.5925773789752,88.6544841602162,,,,
pathology Center,clinic,25.7633303497528,89.2337190994212,,,,
Sristy Madokasokti Punorbason Kendra,hospital,23.7115781675456,90.4493989873898,,,,
Ansar Medical Hall,pharmacy,24.8598899336807,89.9442856370433,,,,
"Khalashi Kandi Committee Clinic, Khalashi kandi, Shibchar",clinic,23.2700625913472,90.1394556540486,,,,
"Manik Da Pharmacy, Pharmacy",pharmacy,23.8467418882746,89.8297633587075,,,,
Quality Dental Care,dentist,23.8124504327444,90.4251467887476,,,,
"Bhai Bhai Sheba Pharmacy, Pharmacy",pharmacy,23.95632647127,90.3812144681871,,,,
confectionary,pharmacy,23.7088200184874,90.4187494687885,,,,
Dalli,pharmacy,23.6996221370399,90.4268824294377,,,,
ELITE dental care,dentist,23.7644994925265,90.3607196252805,,,,
Comfort Hotel,pharmacy,23.5512302643605,90.5346016198818,,,,
"ADMA MEMORIAL HOSPITAL AND DIGITAL DIAGNOSTIC CENTER, Hospital, Bhanga - Barisal Hwy, Tekerhat",hospital,23.2227467479327,90.0200167189493,,,,
রওনক ফার্মা,pharmacy,23.7726559225046,90.3545397318897,,,,
Roundabout Community clinic(রাউন্দাবাউত কমিউনিটি ক্লিনিক),clinic,22.349396023149,89.8538034951994,,,,
Jahanara Pharma,pharmacy,23.8014470893534,90.3784703169072,,,,
Nikli Upazilla Health Complex,hospital,24.3258925449983,90.933630250903,,,,
Monir Medical(মনির মেডিক্যাল),pharmacy,23.8244808945503,90.3597435526559,,,,
New Marko herbal and pharma medical(নিউ মার্কো হার্বাল এন্ড ফার্মা মেডিকেল),pharmacy,23.8165724850871,90.3712614610828,,,,
"Tanjil Medicine And Feed Corner, Veterinary pharmacy",pharmacy,24.9787285568748,90.1771199874159,,,,
"Bangladesh Endocrine Society (BES), Doctor, Sonargaon Road, Dhaka",doctor,23.7406156785287,90.3912660464728,,,,
Nawabganj Upazila Health Complex,hospital,25.4186692572859,89.0818058215805,,,,
Emon Phermacy,pharmacy,24.7253323921892,89.3966253270929,,,,
Khan Pharmacy,pharmacy,23.7757821209312,90.3523709982626,,,,
Monir Drug House,pharmacy,23.8181466903221,90.354144273698,,,,
Murad Medicine Corner মুরাদ মেডিসিন কর্ণার,pharmacy,24.7660135401467,90.3934842333286,,,,
Jorpykur Oral And Dental Health Centre,clinic,23.7463272749892,90.426811937632,,,,
Patwary Pharmacy,pharmacy,23.7156343381294,90.425422721,Mintu,,,
Medicine Centre,pharmacy,24.9526251310976,90.3590249720968,,,,
Dentist Doctor Chamber,doctor,23.7888324927153,90.3518803216508,,,,
Mim Nursing home,clinic,22.8040832572704,89.5738684648668,,,,
"Sabuj Pharmacy, Pharmacy",pharmacy,25.2833586856133,89.3528022227308,,,,
Alpha Dental Care,dentist,23.7565835393503,90.3660474982137,,,,
Hakim Drug,pharmacy,23.8466057661671,90.2463058925907,,,,
"Rian Model Medicin Shops, Pharmacy",pharmacy,24.6777597272615,89.9526612537895,,,,
Janata Pharmacy,pharmacy,23.7903842344498,90.3755768839317,,,,
Nur Pharmacy,pharmacy,23.8077050182627,90.3784903496557,,,,
Prostho Dental,dentist,23.7582121431369,90.3734286859673,,,,
Bauphal Upazila Helath Complex,hospital,22.4146933958036,90.5615002368131,,50,,
Community Clinic (3 no ward),clinic,22.1928538392808,90.4921128306859,,,,
Jashore Medical Hall,pharmacy,23.1678938971846,89.2098347825092,,,,
Mahin Pharmacy,pharmacy,25.7423399687305,89.2338290699908,,,,
Zakir Medical Hall,pharmacy,23.7598424233042,90.3658983841563,,,,
ডাঃ সাখাওয়াত হোসেন,doctor,23.7489878586945,90.4268841896374,,,,
Kholil Pharmacy খলিল ফার্মেসী,pharmacy,23.0046563328804,89.4228538946845,,,,
আদিবা ডেন্টাল কেয়ার,dentist,23.8078718181359,90.3787434831316,,,,
